step,train_loss,val_loss,lr
0,4.234755039215088,4.236877918243408,1.4999999999999998e-06
300,2.423288583755493,2.4301187992095947,0.00029915114833558773
600,2.079766035079956,2.127819299697876,0.00028663079716682654
900,1.8476165533065796,1.9571189880371094,0.0002604594154601839
1200,1.7201358079910278,1.8676837682724,0.0002235743047808703
1500,1.6490310430526733,1.8149871826171875,0.00018011520427394653
1800,1.580910325050354,1.766745924949646,0.00013495967391589754
2100,1.541681170463562,1.7218236923217773,9.317566967042956e-05
2400,1.5034312009811401,1.7121357917785645,5.9452749866815986e-05
2700,1.4873483180999756,1.6839098930358887,3.7575750408370376e-05
2999,1.477753758430481,1.6747506856918335,3.0000084974263673e-05
